 

stn;time;tre200s0
BER;201905051530;7.2
BER;201905051540;6.6
BER;201905051550;6.8
BER;201905051600;6.3
BER;201905051610;6.3
BER;201905051620;5.8
BER;201905051630;5.5
BER;201905051640;5.6
BER;201905051650;5.6
BER;201905051700;5.7
BER;201905051710;5.7
BER;201905051720;5.5
BER;201905051730;5.4
BER;201905051740;5.2
BER;201905051750;5.0
BER;201905051800;4.9
BER;201905051810;4.6
BER;201905051820;4.2
BER;201905051830;4.1
BER;201905051840;3.7
BER;201905051850;3.5
BER;201905051900;3.2
BER;201905051910;3.3
BER;201905051920;3.1
BER;201905051930;3.1
BER;201905051940;0.8
BER;201905051950;1.3
BER;201905052000;0.9
BER;201905052010;1.2
BER;201905052020;-0.1
BER;201905052030;-0.3
BER;201905052040;0.9
BER;201905052050;0.1
BER;201905052100;0.2
BER;201905052110;-0.2
BER;201905052120;0.0
BER;201905052130;-0.6
BER;201905052140;-0.5
BER;201905052150;-0.6
BER;201905052200;-0.6
BER;201905052210;-0.9
BER;201905052220;-0.9
BER;201905052230;-0.9
BER;201905052240;-1.4
BER;201905052250;-0.2
BER;201905052300;-0.9
BER;201905052310;-1.0
BER;201905052320;-1.0
BER;201905052330;-0.8
BER;201905052340;-1.5
BER;201905052350;-1.4
BER;201905060000;-0.9
BER;201905060010;-1.3
BER;201905060020;-1.2
BER;201905060030;-1.6
BER;201905060040;-1.1
BER;201905060050;-1.1
BER;201905060100;-2.2
BER;201905060110;-1.1
BER;201905060120;-1.2
BER;201905060130;-1.4
BER;201905060140;-1.4
BER;201905060150;-1.9
BER;201905060200;-1.9
BER;201905060210;-2.1
BER;201905060220;-2.1
BER;201905060230;-2.3
BER;201905060240;-1.8
BER;201905060250;-1.5
BER;201905060300;-2.1
BER;201905060310;-2.0
BER;201905060320;-1.5
BER;201905060330;-1.9
BER;201905060340;-1.9
BER;201905060350;-1.9
BER;201905060400;-1.8
BER;201905060410;-1.8
BER;201905060420;-1.7
BER;201905060430;-1.9
BER;201905060440;-1.8
BER;201905060450;-1.5
BER;201905060500;-1.9
BER;201905060510;-1.8
BER;201905060520;-1.4
BER;201905060530;-0.9
BER;201905060540;-0.3
BER;201905060550;0.1
BER;201905060600;0.2
BER;201905060610;0.9
BER;201905060620;1.7
BER;201905060630;2.7
BER;201905060640;3.2
BER;201905060650;3.5
BER;201905060700;4.4
BER;201905060710;4.6
BER;201905060720;4.4
BER;201905060730;5.2
BER;201905060740;5.2
BER;201905060750;5.8
BER;201905060800;5.9
BER;201905060810;6.7
BER;201905060820;5.8
BER;201905060830;5.7
BER;201905060840;6.5
BER;201905060850;5.5
BER;201905060900;5.9
BER;201905060910;6.3
BER;201905060920;6.4
BER;201905060930;6.4
BER;201905060940;6.9
BER;201905060950;7.2
BER;201905061000;7.2
BER;201905061010;7.1
BER;201905061020;7.1
BER;201905061030;7.1
BER;201905061040;7.1
BER;201905061050;8.0
BER;201905061100;8.5
BER;201905061110;8.2
BER;201905061120;8.3
BER;201905061130;8.2
BER;201905061140;7.9
BER;201905061150;7.5
BER;201905061200;7.7
BER;201905061210;7.9
BER;201905061220;7.8
BER;201905061230;8.4
BER;201905061240;8.0
BER;201905061250;8.6
BER;201905061300;8.7
BER;201905061310;8.3
BER;201905061320;9.3
BER;201905061330;10.3
BER;201905061340;8.6
BER;201905061350;9.1
BER;201905061400;8.6
BER;201905061410;8.6
BER;201905061420;8.6
BER;201905061430;9.1
BER;201905061440;9.0
BER;201905061450;8.8
BER;201905061500;8.8
BER;201905061510;8.9
BER;201905061520;9.1
BER;201905061530;8.8
BER;201905061540;8.6
BER;201905061550;9.3
BER;201905061600;9.4
BER;201905061610;9.5
BER;201905061620;9.3
BER;201905061630;9.4
BER;201905061640;9.4
BER;201905061650;9.6
BER;201905061700;9.1
BER;201905061710;9.0
BER;201905061720;8.8
BER;201905061730;8.9
BER;201905061740;8.7
BER;201905061750;8.3
BER;201905061800;8.1
BER;201905061810;7.6
BER;201905061820;7.3
BER;201905061830;6.7
BER;201905061840;6.6
BER;201905061850;5.7
BER;201905061900;6.0
BER;201905061910;5.9
BER;201905061920;6.0
BER;201905061930;5.0
BER;201905061940;4.4
BER;201905061950;3.3
BER;201905062000;2.9
BER;201905062010;3.1
BER;201905062020;2.0
BER;201905062030;2.8
BER;201905062040;2.3
BER;201905062050;1.7
BER;201905062100;1.4
BER;201905062110;1.6
BER;201905062120;2.0
BER;201905062130;1.6
BER;201905062140;0.0
BER;201905062150;0.8
BER;201905062200;0.7
BER;201905062210;0.7
BER;201905062220;0.5
BER;201905062230;1.5
BER;201905062240;0.4
BER;201905062250;0.8
BER;201905062300;0.8
BER;201905062310;-0.2
BER;201905062320;-0.4
BER;201905062330;-0.4
BER;201905062340;-0.6
BER;201905062350;0.2
BER;201905070000;0.6
BER;201905070010;0.2
BER;201905070020;-0.4
BER;201905070030;-0.6
BER;201905070040;-0.2
BER;201905070050;-0.5
BER;201905070100;-0.7
BER;201905070110;-0.6
BER;201905070120;-1.0
BER;201905070130;-0.7
BER;201905070140;-1.3
BER;201905070150;-0.9
BER;201905070200;-0.5
BER;201905070210;-0.5
BER;201905070220;-0.8
BER;201905070230;-1.4
BER;201905070240;-1.4
BER;201905070250;-1.4
BER;201905070300;-0.6
BER;201905070310;-1.3
BER;201905070320;-1.3
BER;201905070330;-1.4
BER;201905070340;-1.5
BER;201905070350;-1.4
BER;201905070400;-1.4
BER;201905070410;-1.7
BER;201905070420;-1.2
BER;201905070430;-1.4
BER;201905070440;-2.6
BER;201905070450;-1.9
BER;201905070500;-1.0
BER;201905070510;-0.9
BER;201905070520;-0.9
BER;201905070530;0.0
BER;201905070540;1.5
BER;201905070550;1.5
BER;201905070600;0.9
BER;201905070610;1.1
BER;201905070620;2.0
BER;201905070630;2.9
BER;201905070640;4.1
BER;201905070650;4.6
BER;201905070700;4.9
BER;201905070710;4.7
BER;201905070720;5.1
BER;201905070730;5.3
BER;201905070740;5.6
BER;201905070750;5.9
BER;201905070800;6.1
BER;201905070810;6.2
BER;201905070820;7.3
BER;201905070830;7.2
BER;201905070840;7.0
BER;201905070850;7.6
BER;201905070900;7.4
BER;201905070910;7.4
BER;201905070920;7.8
BER;201905070930;8.6
BER;201905070940;8.1
BER;201905070950;8.8
BER;201905071000;8.6
BER;201905071010;9.1
BER;201905071020;9.7
BER;201905071030;10.5
BER;201905071040;10.6
BER;201905071050;10.8
BER;201905071100;10.4
BER;201905071110;11.3
BER;201905071120;11.1
BER;201905071130;11.0
BER;201905071140;12.7
BER;201905071150;13.0
BER;201905071200;12.2
BER;201905071210;12.3
BER;201905071220;12.5
BER;201905071230;13.0
BER;201905071240;13.8
BER;201905071250;12.5
BER;201905071300;13.6
BER;201905071310;14.0
BER;201905071320;13.5
BER;201905071330;13.2
BER;201905071340;13.6
BER;201905071350;14.0
BER;201905071400;14.1
BER;201905071410;14.0
