"p_id","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
7169,28.24,28.134,27.794,27.551,NA,NA,25.507,25.4,NA,25.9,26.005,26.211,26.896,27.2,NA,30.796,31.693,32.4,28.175,27.965,27.72,27.551,NA,25.507,25.462,25.4,25.9,25.952,26.138,26.563,26.936,27.2,30.796,31.382,31.857,28.033,27.891,27.72,27.551,25.507,25.462,25.462,25.689,25.952,26.074,26.446,26.609,26.936,29.979,31.382,31.55,27.965,27.891,27.72,26.429,25.462,25.462,25.623,25.802,26.074,26.348,26.49,26.609,28.153,30.994,31.55,26.661
7175,28.107,26.799,25.582,25.2,NA,NA,22.584,22.246,22.065,22.71,23.93,25.01,26.197,26.8,NA,31,32.108,32.8,27.311,26.197,25.466,25.2,NA,22.584,22.367,22.164,22.421,23.127,24.628,25.619,26.277,26.8,31,31.724,32.268,26.665,26.019,25.466,25.2,22.584,22.367,22.261,22.36,22.757,23.851,25.264,25.705,26.277,30.045,31.724,31.901,26.458,26.019,25.466,23.764,22.367,22.261,22.396,22.606,23.408,24.528,25.354,25.705,27.766,31.267,31.901,23.326
7176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7178,25.464,24.644,23.928,23.7,NA,NA,20.611,20.208,20.122,20.65,21.787,23.649,25.587,26.3,NA,34.991,35.17,35.3,24.965,24.29,23.858,23.7,NA,20.611,20.351,20.169,20.413,21.039,22.991,24.644,25.682,26.3,34.991,35.108,35.2,24.578,24.184,23.858,23.7,20.611,20.351,20.271,20.341,20.719,22.043,24.044,24.765,25.682,33.016,35.108,35.14,24.454,24.184,23.858,22.003,20.351,20.271,20.385,20.568,21.566,23.066,24.176,24.765,28.618,34.29,35.14,21.437
7182,27.901,26.263,25.192,24.782,NA,NA,20.995,20.255,20.353,20.896,21.882,24.48,28.34,30.1,NA,NA,NA,NA,26.905,25.733,25.067,24.782,NA,20.995,20.519,20.3,20.653,21.233,23.562,26.461,28.574,30.1,NA,NA,NA,26.265,25.563,25.067,24.782,20.995,20.519,20.461,20.514,20.926,22.482,25.5,26.726,28.574,30.1,NA,NA,26.056,25.563,25.067,22.702,20.519,20.461,20.592,20.728,21.954,24.174,25.769,26.726,28.574,30.1,NA,21.947
7187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7189,29.488,28.394,27.296,26.74,NA,NA,24.086,23.197,22.8,24.547,25.7,NA,NA,NA,NA,NA,NA,NA,28.822,27.85,27.126,26.74,NA,24.086,23.513,23.016,23.764,24.773,25.7,NA,NA,NA,NA,NA,NA,28.252,27.651,27.126,26.74,24.086,23.513,23.264,23.565,23.994,24.773,25.7,NA,NA,NA,NA,NA,28.038,27.651,27.126,25.283,23.513,23.264,23.65,23.737,23.994,24.773,25.7,NA,NA,NA,NA,24.702
7190,NA,NA,NA,NA,NA,NA,24.153,23.416,23.022,23.293,25.231,26.678,27.353,27.8,NA,36,36,NA,NA,NA,NA,NA,NA,24.153,23.678,23.237,23.172,23.957,26.165,27.025,27.413,27.8,36,36,36,NA,NA,NA,NA,24.153,23.678,23.449,23.257,23.631,25.002,26.647,27.081,27.413,34.136,36,36,NA,NA,NA,24.153,23.678,23.449,23.402,23.568,24.511,25.681,26.714,27.081,30.121,34.849,36,23.402
7192,27.491,26.825,26.06,25.719,NA,NA,23.64,23.114,22.267,22.619,24.359,26.033,27.106,27.6,NA,30.24,30.706,31.1,27.085,26.446,25.956,25.719,NA,23.64,23.302,22.729,22.461,23.214,25.44,26.584,27.172,27.6,30.24,30.544,30.797,26.702,26.316,25.956,25.719,23.64,23.302,22.94,22.69,22.884,24.297,26.116,26.658,27.172,29.64,30.544,30.636,26.563,26.316,25.956,24.577,23.302,22.94,22.843,22.952,23.794,25.109,26.203,26.658,28.139,30.271,30.636,23.786
