"";"log_dist_mean";"log_dist";"log_dist_name";"log_temp_weighted_mean";"log_temp";"log_number_of_log";"log_temp_difference"
"106";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,98256790366441
"107";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,98256790366441
"108";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,96256790366441
"109";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,91256790366441
"110";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,8525679036644
"111";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,84256790366441
"112";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,8525679036644
"113";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,9025679036644
"114";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,97256790366441
"115";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,04256790366441
"116";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,05256790366441
"117";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,05256790366441
"118";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,04256790366441
"119";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,04256790366441
"120";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,05256790366441
"121";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,9925679036644
"122";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,9425679036644
"123";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,87256790366441
"124";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,80256790366441
"125";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,73256790366441
"126";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6525679036644
"127";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,61256790366441
"128";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,5825679036644
"129";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,5825679036644
"130";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6525679036644
"131";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6925679036644
"132";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6525679036644
"133";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6925679036644
"134";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,71256790366441
"135";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,71256790366441
"136";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,71256790366441
"137";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,68256790366441
"138";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6525679036644
"139";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,6725679036644
"140";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,73256790366441
"141";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,78256790366441
"142";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;3,78256790366441
